Metka;dt;Цена на арматуру
меньше;01.20.2020;32500
больше;01.27.2020;32890
больше;02.03.2020;33400
меньше;02.10.2020;32800
меньше;02.17.2020;32000
меньше;02.24.2020;31500
больше;03.02.2020;32500
больше;03.09.2020;33500
больше;03.16.2020;34000
больше;03.23.2020;35000
меньше;03.30.2020;35000
меньше;04.06.2020;34500
меньше;04.13.2020;34000
меньше;04.20.2020;33500
меньше;04.27.2020;33500
меньше;05.04.2020;33500
меньше;05.11.2020;33500
меньше;05.18.2020;33500
меньше;05.25.2020;33500
меньше;06.01.2020;33000
меньше;06.08.2020;33000
меньше;06.15.2020;33000
больше;06.22.2020;33700
больше;06.29.2020;34500
меньше;07.06.2020;34500
больше;07.13.2020;35000
меньше;07.20.2020;35000
больше;07.27.2020;35100
меньше;08.03.2020;35100
больше;08.10.2020;35200
больше;08.17.2020;35500
больше;08.24.2020;36500
больше;08.31.2020;37200
больше;09.07.2020;37500
меньше;09.14.2020;37500
больше;09.21.2020;38000
больше;09.28.2020;38500
больше;10.05.2020;39500
больше;10.12.2020;40000
меньше;10.19.2020;39500
меньше;10.26.2020;39500
меньше;11.02.2020;39500
меньше;11.09.2020;39500
меньше;11.16.2020;39500
меньше;11.23.2020;39500
больше;11.30.2020;41500
больше;12.07.2020;42500
больше;12.14.2020;51000
больше;12.21.2020;58000
больше;12.28.2020;61000
меньше;01.04.2021;61000
меньше;01.11.2021;61000
больше;01.18.2021;62000
меньше;01.25.2021;62000
меньше;02.01.2021;59000
меньше;02.08.2021;55000
меньше;02.15.2021;51500
меньше;02.22.2021;48500
меньше;03.01.2021;48000
больше;03.08.2021;49000
больше;03.15.2021;50500
больше;03.22.2021;50800
больше;03.29.2021;51500
больше;04.05.2021;53500
больше;04.12.2021;54500
больше;04.19.2021;58500
больше;04.26.2021;60500
больше;05.03.2021;62500
больше;05.10.2021;63500
больше;05.17.2021;67000
больше;05.24.2021;71900
меньше;05.31.2021;71900
больше;06.07.2021;72500
больше;06.14.2021;74000
меньше;06.21.2021;74000
меньше;06.28.2021;74000
меньше;07.05.2021;74000
меньше;07.12.2021;73500
меньше;07.19.2021;72500
меньше;07.26.2021;71500
меньше;08.02.2021;69500
меньше;08.09.2021;66000
меньше;08.16.2021;65000
меньше;08.23.2021;63500
меньше;08.30.2021;62000
меньше;09.06.2021;59000
меньше;09.13.2021;56500
меньше;09.20.2021;55000
меньше;09.27.2021;54000
больше;10.04.2021;56800
больше;10.11.2021;59000
больше;10.18.2021;64000
больше;10.25.2021;73000
больше;11.01.2021;77000
больше;11.08.2021;79000
меньше;11.15.2021;78000
меньше;11.22.2021;72500
меньше;11.29.2021;64000
меньше;12.06.2021;61500
меньше;12.13.2021;60500
больше;12.20.2021;61500
больше;12.27.2021;62500
больше;01.03.2022;63500
меньше;01.10.2022;63500
больше;01.17.2022;63700
меньше;01.24.2022;62500
больше;01.31.2022;62900
больше;02.07.2022;65000
больше;02.14.2022;65500
больше;02.21.2022;69000
больше;02.28.2022;78000
меньше;03.07.2022;77000
меньше;03.14.2022;74000
меньше;03.21.2022;67000
больше;03.28.2022;69500
меньше;04.04.2022;69500
меньше;04.11.2022;67500
меньше;04.18.2022;64000
меньше;04.25.2022;61500
меньше;05.02.2022;58000
меньше;05.09.2022;56000
меньше;05.16.2022;54000
меньше;05.23.2022;50000
меньше;05.30.2022;46000
меньше;06.06.2022;43500
меньше;06.13.2022;42000
больше;06.20.2022;43000
больше;06.27.2022;44000
больше;07.04.2022;45000
больше;07.11.2022;45500
больше;07.18.2022;47000
больше;07.25.2022;47500
меньше;08.01.2022;47500
больше;08.08.2022;49000
меньше;08.15.2022;47500
меньше;08.22.2022;46500
меньше;08.29.2022;46000
